link,price,surface,rooms,DPE,GES,location,reference,exterieur,stationnement,image,postal_code,city,Population,Superficie,Densité,Infos_ville,latitude,longitude,price_per_m2,is_complete
https://www.etreproprio.com/immobilier-19595621-vente-appartement-62m-a-saint-laurent-du-maroni-saint-laurent-du-maroni,175000,63,3.0,,,— Saint-Laurent-Du-Maroni 97320 —,Référence: VA1910-SOLUTIONSPAT,,,https://storage.etreproprio.com/classified/image/thumb/o/q/t/4227b178-11c5-4d40-9835-ed62a5dadce7_ptw0.jpeg,97320,Saint Laurent Du Maroni,,,,ℹ️ Aucune information disponible.,5.488238,-53.998988,2777.777777777778,False
https://www.etreproprio.com/immobilier-23434829-vente-t3-6394m2-avec-terrasse-de-12m2-montpellier,240000,64,3.0,B,B,— Montpellier 34070 —,Référence: 36,,,https://storage.etreproprio.com/classified/image/thumb/w/p/m/27a3a158-578f-445c-b3b4-066741b15890_ptw0.jpeg,34070,Montpellier,307101 hab.,"56,88 km²",5399 hab/km²,"Montpellier ou Montpelhièr en occitan est une commune du sud de la France, préfecture du département de l’ Hérault et centre d'une métropole. Montpellier se situe en région Occitanie, dans l'ancienne province historique du Languedoc, sur un grand axe de communication joignant l' Espagne à l'ouest, à l' Italie à l'est.",43.610476,3.87048,3750.0,True
https://www.etreproprio.com/immobilier-23386242-vente-t2-cle-en-main-proche-gare-stationnement-nantes,195000,46,2.0,C,A,— Nantes 44000 —,Référence: 1302,,,https://storage.etreproprio.com/classified/image/thumb/g/w/r/05fcc445-5b3c-4010-a7a9-7069a1875d76_ptw0.jpeg,44000,Nantes,325070 hab.,"65,19 km²",4987 hab/km²,"Nantes, Naonte en gallo et Naoned en breton, est une commune de l'ouest de la France, située au sud du Massif armoricain, qui s'étend sur les rives de la Loire, à 50 km de l' océan Atlantique.",47.239367,-1.555335,4239.130434782609,True
https://www.etreproprio.com/immobilier-21498905-vente-sublime-2-pieces-avec-vue-mer-saint-laurent-du-var,355000,70,2.0,D,D,— Saint-Laurent-Du-Var 06700 —,Référence: 178,,,https://storage.etreproprio.com/classified/image/thumb/j/k/z/f6168da8-a489-49db-ab17-891908cd67eb_ptw0.jpeg,06700,Saint Laurent Du Var,,,,ℹ️ Aucune information disponible.,43.686846,7.18367,5071.428571428572,True
https://www.etreproprio.com/immobilier-23428951-vente-t2-camas-28m2-avec-petit-balcon-marseille-5e,132000,28,2.0,,,— Marseille-5e 13005 —,Référence: 1059,,,https://storage.etreproprio.com/classified/image/thumb/v/d/o/1ba5d875-a7fc-4ac7-9b87-b73463eb00b6_ptw0.jpeg,13005,Marseille 5e,877215 hab.,"240,62 km²",3646 hab/km²,"Marseille (en occitan provençal Marselha ou Marsiho ) est une commune française située dans le département des Bouches-du-Rhône, dont elle est la ville-préfecture. Elle est le chef-lieu de la région Provence-Alpes-Côte d'Azur.",43.292551,5.400497,4714.285714285715,False
https://www.etreproprio.com/immobilier-23430782-vente-paris-11eme-voltaire-popincourt-paris-11e,327000,52,3.0,E,B,— Paris-11e 75011 —,Référence: 86347309,,,https://storage.etreproprio.com/classified/image/thumb/z/b/m/2f5e29e1-01ea-44c7-a9ab-2dd815ad3f6c_ptw0.jpeg,75011,Paris 11e,2113705 hab.,"105,40 km²",20054 hab/km²,"Paris, officiellement la Ville de Paris est la capitale de la France ainsi qu'une collectivité à statut particulier. Elle est divisée en vingt arrondissements.",48.860162,2.381844,6288.461538461538,True
https://www.etreproprio.com/immobilier-23433754-vente-a-vendre-charmant-studio-meuble-27-m2-entierement-renove-idealement-situe-quartier-medieval-de-hyeres-hyeres,128000,28,1.0,,,— Hyeres 83400 —,Référence: SGC-280,,,https://storage.etreproprio.com/classified/image/thumb/r/r/k/6e063bf2-d036-4969-b15e-ec1e1d873fa9_ptw0.jpeg,83400,Hyeres,55384 hab.,"132,28 km²",419 hab/km²,"« Hyères-les-Palmiers » et « Hyères les Palmiers » redirigent ici. Pour les autres significations, voir Hyères (homonymie).",43.116731,6.20255,4571.428571428572,False
https://www.etreproprio.com/immobilier-23429997-vente-bel-appartement-t3-vue-mer-bastia-bastia,282000,81,3.0,B,,— Bastia 20600 —,Référence: 86352836,,,https://storage.etreproprio.com/classified/image/thumb/t/g/j/854d4509-2926-4aa0-82be-b607fb966be0_ptw0.jpeg,20600,Bastia,47459 hab.,"19,38 km²",2449 hab/km²,Bastia (en français :; en corse :; en italien : ) est une commune française située dans le département de la Haute-Corse. Elle est la préfecture du département depuis 1976.,42.687608,9.435179,3481.4814814814813,False
https://www.etreproprio.com/immobilier-23434022-vente-appartement-76m-a-clermont-ferrand-clermont-ferrand,289000,76,4.0,,,— Clermont-Ferrand 63100 —,Référence: 1678313-1,,,https://storage.etreproprio.com/classified/image/thumb/e/u/c/60a1221f-422b-403a-99d2-8648583f613a_ptw0.jpeg,63100,Clermont Ferrand,147751 hab.,"42,67 km²",3463 hab/km²,"Clermont-Ferrand est une ville du centre de la France, située dans le Massif central en région Auvergne-Rhône-Alpes. C'est la capitale historique de l' Auvergne et le chef-lieu du département du Puy-de-Dôme.",45.786671,3.107055,3802.6315789473683,False
https://www.etreproprio.com/immobilier-23428492-vente-appartement-t4-a-vendre-charnoz-sur-ain,295000,84,4.0,C,A,— Charnoz-Sur-Ain 01800 —,Référence: 417-1,,,https://storage.etreproprio.com/classified/image/thumb/u/v/a/f592e36c-79de-4fb5-8d81-0e86354b2143_ptw0.jpeg,01800,Charnoz Sur Ain,,,,ℹ️ Aucune information disponible.,45.876374,5.220371,3511.904761904762,True
