link,price,surface,rooms,DPE,GES,location,reference,exterieur,stationnement,image
https://www.etreproprio.com/immobilier-19595621-vente-appartement-62m-a-saint-laurent-du-maroni-saint-laurent-du-maroni,175000 €,63 m²,3 pièces,,,— Saint-Laurent-Du-Maroni 97320 —,Référence: VA1910-SOLUTIONSPAT,,,https://storage.etreproprio.com/classified/image/thumb/o/q/t/4227b178-11c5-4d40-9835-ed62a5dadce7_ptw0.jpeg
https://www.etreproprio.com/immobilier-23434829-vente-t3-6394m2-avec-terrasse-de-12m2-montpellier,240000 €,64 m²,3 pièces,B,B,— Montpellier 34070 —,Référence: 36,,,https://storage.etreproprio.com/classified/image/thumb/w/p/m/27a3a158-578f-445c-b3b4-066741b15890_ptw0.jpeg
https://www.etreproprio.com/immobilier-23386242-vente-t2-cle-en-main-proche-gare-stationnement-nantes,195000 €,46 m²,2 pièces,C,A,— Nantes 44000 —,Référence: 1302,,,https://storage.etreproprio.com/classified/image/thumb/g/w/r/05fcc445-5b3c-4010-a7a9-7069a1875d76_ptw0.jpeg
https://www.etreproprio.com/immobilier-21498905-vente-sublime-2-pieces-avec-vue-mer-saint-laurent-du-var,355000 €,70 m²,2 pièces,D,D,— Saint-Laurent-Du-Var 06700 —,Référence: 178,,,https://storage.etreproprio.com/classified/image/thumb/j/k/z/f6168da8-a489-49db-ab17-891908cd67eb_ptw0.jpeg
https://www.etreproprio.com/immobilier-23428951-vente-t2-camas-28m2-avec-petit-balcon-marseille-5e,132000 €,28 m²,2 pièces,,,— Marseille-5e 13005 —,Référence: 1059,,,https://storage.etreproprio.com/classified/image/thumb/v/d/o/1ba5d875-a7fc-4ac7-9b87-b73463eb00b6_ptw0.jpeg
https://www.etreproprio.com/immobilier-23430782-vente-paris-11eme-voltaire-popincourt-paris-11e,327000 €,52 m²,3 pièces,E,B,— Paris-11e 75011 —,Référence: 86347309,,,https://storage.etreproprio.com/classified/image/thumb/z/b/m/2f5e29e1-01ea-44c7-a9ab-2dd815ad3f6c_ptw0.jpeg
https://www.etreproprio.com/immobilier-23433754-vente-a-vendre-charmant-studio-meuble-27-m2-entierement-renove-idealement-situe-quartier-medieval-de-hyeres-hyeres,128000 €,28 m²,1 pièce,,,— Hyeres 83400 —,Référence: SGC-280,,,https://storage.etreproprio.com/classified/image/thumb/r/r/k/6e063bf2-d036-4969-b15e-ec1e1d873fa9_ptw0.jpeg
https://www.etreproprio.com/immobilier-23429997-vente-bel-appartement-t3-vue-mer-bastia-bastia,282000 €,81 m²,3 pièces,B,,— Bastia 20600 —,Référence: 86352836,,,https://storage.etreproprio.com/classified/image/thumb/t/g/j/854d4509-2926-4aa0-82be-b607fb966be0_ptw0.jpeg
https://www.etreproprio.com/immobilier-23434022-vente-appartement-76m-a-clermont-ferrand-clermont-ferrand,289000 €,76 m²,4 pièces,,,— Clermont-Ferrand 63100 —,Référence: 1678313-1,,,https://storage.etreproprio.com/classified/image/thumb/e/u/c/60a1221f-422b-403a-99d2-8648583f613a_ptw0.jpeg
https://www.etreproprio.com/immobilier-23428492-vente-appartement-t4-a-vendre-charnoz-sur-ain,295000 €,84 m²,4 pièces,C,A,— Charnoz-Sur-Ain 01800 —,Référence: 417-1,,,https://storage.etreproprio.com/classified/image/thumb/u/v/a/f592e36c-79de-4fb5-8d81-0e86354b2143_ptw0.jpeg
https://www.etreproprio.com/immobilier-23434570-vente-appartement-64m-a-colombes-colombes,305000 €,64 m²,3 pièces,D,D,— Colombes 92700 —,Référence: 1861737,,,https://storage.etreproprio.com/classified/image/thumb/q/h/s/153cab4d-5cbc-4cc2-b445-5ed6d8948c43_ptw0.jpeg
https://www.etreproprio.com/immobilier-22605333-vente-appartement-treffieux-2-pieces-5389-m2-nozay,89000 €,54 m²,2 pièces,D,B,— Nozay 44170 —,Référence: 2629,,,https://www.etreproprio.com/photo-immobilier-22605333/vente-appartement-nozay-armp-ptw0.jpeg
https://www.etreproprio.com/immobilier-23431801-vente-maison-de-village-193m-cognac,283500 €,193 m²,,E,E,— Cognac 16100 —,Référence: 86352652,,,https://storage.etreproprio.com/classified/image/thumb/h/c/k/63dd9210-57d5-4cf1-99fd-1a7f0b7adb20_ptw0.jpeg
https://www.etreproprio.com/immobilier-23430485-vente-le-cannet-4-pieces-etage-eleve-terrasse-cave-parking-renove-le-cannet,598900 €,89 m²,4 pièces,C,C,— Le Cannet 06110 —,Référence: 86341297,,,https://storage.etreproprio.com/classified/image/thumb/s/b/r/b4c533d2-2475-480b-83d0-ba6b153e021b_ptw0.jpeg
https://www.etreproprio.com/immobilier-23431343-vente-monument-historique-remarquable-place-des-carmes-toulouse,1102500 €,173 m²,8 pièces,C,C,— Toulouse 31000 —,Référence: 86354039,,,https://storage.etreproprio.com/classified/image/thumb/n/f/f/477a0ce8-6bb0-45b0-8e88-300a598934a2_ptw0.jpeg
https://www.etreproprio.com/immobilier-22180596-vente-appartement-85m-a-eybens-eybens,300000 €,85 m²,3 pièces,B,B,— Eybens 38320 —,Référence: VA5800-BONJOUR2,,,https://storage.etreproprio.com/classified/image/thumb/b/s/i/6abcac7e-465b-48d1-ad43-d8c84133929c_ptw0.jpeg
https://www.etreproprio.com/immobilier-23434281-vente-appartement-65m-a-amberieux-en-dombes-amberieux-en-dombes,235000 €,65 m²,3 pièces,A,A,— Amberieux-En-Dombes 01330 —,Référence: 1859363,Balcon,Garage,https://storage.etreproprio.com/classified/image/thumb/b/e/n/ed13a5a8-ebd4-41e6-a471-75c8bd2f79a8_ptw0.jpeg
https://www.etreproprio.com/immobilier-23184959-vente-saint-vincent-le-havre,179000 €,38 m²,2 pièces,E,B,— Le Havre 76600 —,,Balcon,,https://www.etreproprio.com/photo-immobilier-23184959/vente-appartement-le-havre-cwav-ptw0.jpeg
https://www.etreproprio.com/immobilier-23433001-vente-appartement-t2-quartier-chartrons-bordeaux,223000 €,42 m²,2 pièces,C,A,— Bordeaux 33300 —,Référence: 2431,Balcon,,https://storage.etreproprio.com/classified/image/thumb/j/n/o/2b0214aa-1e8b-481b-b391-52eb82e39423_ptw0.jpeg
https://www.etreproprio.com/immobilier-23433222-vente-appartement-14m-a-paris-14e-paris-14e,149000 €,14 m²,1 pièce,F,F,— Paris-14e 75014 —,Référence: 8181,Balcon,,https://storage.etreproprio.com/classified/image/thumb/x/g/k/67a5fdf4-bb99-4fcf-83e3-f60a0f35f3c3_ptw0.jpeg
https://www.etreproprio.com/immobilier-22992066-vente-appartement-66m-a-clamart-clamart,220000 €,66 m²,4 pièces,E,E,— Clamart 92140 —,Référence: 1742713,Balcon,,https://www.etreproprio.com/photo-immobilier-22992066/photo-1-vente-appartement-clamart-isrd-ptw0.jpeg
https://www.etreproprio.com/immobilier-23430770-vente-appartement-94m-a-nice-nice,375000 €,95 m²,5 pièces,C,A,— Nice 06200 —,,Balcon,,https://storage.etreproprio.com/classified/image/thumb/r/a/a/58f83199-53fa-48d7-9165-75318fc9a0f7_ptw0.jpeg
https://www.etreproprio.com/immobilier-23431265-vente-montfleury-3pieces-avec-terrasse-et-parking-cannes,590000 €,71 m²,3 pièces,C,A,— Cannes 06400 —,Référence: 11645,Balcon,,https://storage.etreproprio.com/classified/image/thumb/e/o/g/4fc8c1d7-b680-4273-82b1-bb228eb8b24f_ptw0.jpeg
